aX,aY,aZ,gX,gY,gZ
0.201,-0.391,1.283,33.386,62.622,-41.687
0.192,-0.411,1.324,40.649,70.068,-45.593
0.190,-0.435,1.258,41.565,81.421,-48.767
0.191,-0.453,1.081,29.968,105.103,-51.880
0.199,-0.456,0.883,28.931,107.910,-52.673
0.230,-0.412,0.764,33.752,105.774,-54.932
0.239,-0.458,0.743,39.795,104.065,-60.181
0.225,-0.599,0.647,42.603,105.774,-72.083
0.173,-0.896,0.362,41.321,105.652,-73.059
0.162,-0.998,0.284,38.696,103.088,-70.679
0.160,-1.056,0.272,27.283,95.825,-58.960
0.161,-1.081,0.245,19.226,94.360,-52.185
0.181,-1.099,0.037,13.306,92.041,-45.776
0.201,-1.069,-0.055,11.719,86.670,-40.466
0.227,-1.046,-0.096,15.015,68.481,-36.255
0.270,-1.056,-0.060,16.418,58.167,-35.522
0.283,-1.085,0.001,16.602,48.096,-34.363
0.290,-1.118,0.091,11.719,34.363,-26.611
0.297,-1.130,0.165,5.493,33.630,-20.203
0.324,-1.084,0.135,-1.160,34.485,-13.489
0.338,-1.016,0.105,-6.104,33.325,-7.629
0.350,-0.943,0.120,-6.714,23.987,-2.319
0.370,-0.815,0.226,-3.662,20.020,-2.686
0.378,-0.790,0.254,-2.686,18.066,-4.517
0.382,-0.759,0.279,-3.967,16.602,-7.690
0.398,-0.590,0.314,-2.075,16.785,-9.583
0.406,-0.472,0.350,1.343,16.663,-13.611
0.409,-0.366,0.369,4.639,17.151,-21.057
0.402,-0.237,0.354,7.385,19.958,-46.082
0.366,0.113,0.238,8.850,19.897,-66.040
0.343,0.249,0.185,11.536,16.663,-92.529
0.302,0.270,0.212,16.907,0.122,-156.067
0.171,-0.141,0.423,19.287,-5.310,-182.373
0.125,-0.433,0.412,22.034,-3.601,-197.388
0.113,-0.732,0.265,22.949,2.991,-199.463
0.108,-0.934,0.075,18.921,4.883,-169.556
0.080,-0.872,-0.036,21.423,-4.150,-149.353
0.064,-0.762,0.080,27.222,-15.930,-135.742
0.043,-0.697,0.252,33.081,-34.912,-133.606
-0.048,-0.992,0.483,27.893,-39.063,-139.282
-0.115,-1.274,0.539,21.606,-41.260,-140.503
-0.186,-1.496,0.620,18.188,-42.053,-132.996
-0.248,-1.641,0.695,14.465,-33.081,-95.642
-0.335,-1.677,0.729,12.085,-24.353,-71.045
-0.358,-1.572,0.672,8.423,-12.878,-51.270
-0.360,-1.464,0.573,7.385,7.263,-32.837
-0.314,-1.345,0.371,12.268,10.742,-29.785
-0.286,-1.377,0.295,16.785,9.644,-28.503
-0.268,-1.407,0.252,21.179,0.671,-18.738
-0.260,-1.375,0.237,20.020,-2.747,-10.742
-0.255,-1.256,0.138,14.038,-3.662,-4.883
-0.259,-1.281,-0.021,3.784,-3.845,-1.160
-0.265,-1.311,-0.204,-15.869,-15.259,10.376
-0.281,-1.321,-0.450,-22.034,-28.259,18.616
-0.295,-1.313,-0.500,-26.611,-43.701,27.710
-0.314,-1.289,-0.541,-39.429,-74.036,47.913
-0.339,-1.256,-0.600,-47.363,-89.722,58.167
-0.375,-1.145,-0.699,-54.199,-108.093,67.627
-0.390,-1.092,-0.660,-59.570,-130.493,75.684
-0.419,-1.023,-0.515,-61.096,-181.274,87.769
-0.494,-0.805,0.039,-55.298,-199.707,90.576
-0.481,-0.678,0.302,-46.509,-205.200,89.600
-0.427,-0.624,0.486,-50.842,-186.157,76.477
-0.368,-0.662,0.632,-74.524,-169.678,71.167
-0.288,-0.713,0.684,-97.107,-153.992,70.068
-0.262,-0.583,0.734,-101.562,-145.935,70.740
