aX,aY,aZ,gX,gY,gZ
0.226,0.725,-0.485,1.038,-41.565,-9.705
0.232,0.721,-0.486,2.930,-41.077,-7.996
0.233,0.725,-0.487,5.798,-40.222,-4.272
0.230,0.743,-0.492,7.385,-40.100,-3.479
0.230,0.734,-0.504,8.240,-40.955,-3.479
0.232,0.725,-0.494,7.690,-42.419,-2.563
0.233,0.734,-0.473,6.653,-44.312,2.136
0.232,0.759,-0.444,7.751,-44.250,3.662
0.232,0.761,-0.432,8.667,-44.250,4.456
0.232,0.764,-0.414,9.644,-43.884,5.554
0.227,0.767,-0.408,10.742,-43.030,6.042
0.219,0.762,-0.415,11.658,-42.969,6.348
0.221,0.751,-0.408,11.353,-44.189,7.019
0.225,0.750,-0.393,6.836,-47.546,10.620
0.231,0.758,-0.352,3.723,-48.462,12.024
0.233,0.760,-0.327,0.366,-48.889,13.245
0.234,0.767,-0.302,-2.747,-48.096,15.137
0.235,0.764,-0.281,-1.587,-46.875,15.259
0.242,0.718,-0.268,-0.122,-45.471,15.869
0.248,0.705,-0.260,0.244,-44.678,17.578
0.249,0.695,-0.263,-0.488,-42.358,22.644
0.236,0.732,-0.302,0.000,-41.199,26.611
0.229,0.802,-0.300,0.671,-40.344,30.823
0.227,0.867,-0.295,5.615,-37.292,31.555
0.230,0.893,-0.296,9.216,-35.828,27.710
0.251,0.843,-0.311,11.658,-34.912,23.499
0.258,0.812,-0.325,12.024,-34.607,20.874
0.261,0.789,-0.335,8.057,-35.767,22.156
0.261,0.771,-0.321,4.089,-36.499,25.513
0.263,0.797,-0.288,0.916,-36.865,29.663
0.263,0.830,-0.270,2.808,-32.410,34.973
0.251,0.880,-0.287,6.775,-29.175,36.011
0.247,0.881,-0.281,10.559,-27.222,36.316
0.247,0.860,-0.258,12.817,-26.306,36.072
0.251,0.833,-0.229,12.024,-23.621,38.208
0.238,0.855,-0.208,8.972,-20.813,41.199
0.223,0.908,-0.212,5.737,-18.066,43.762
0.208,0.952,-0.217,7.324,-13.733,42.908
0.201,0.935,-0.188,13.062,-12.146,40.833
0.209,0.909,-0.157,18.311,-10.193,39.490
0.212,0.880,-0.144,20.020,-7.507,38.757
0.208,0.870,-0.142,14.954,-3.967,40.649
0.187,0.940,-0.154,12.451,-2.991,41.870
0.175,0.979,-0.171,10.498,-2.014,41.565
0.169,1.001,-0.189,5.615,-0.916,37.048
0.164,0.991,-0.206,3.052,-0.977,34.241
0.162,0.975,-0.203,1.648,-1.343,32.104
0.163,0.944,-0.200,1.648,-1.831,29.541
0.169,0.910,-0.187,-0.305,-1.587,29.358
0.174,0.899,-0.167,-3.174,0.183,29.785
0.162,0.944,-0.197,-4.822,3.601,30.762
0.149,1.018,-0.231,-0.671,9.094,29.785
0.135,1.068,-0.279,4.272,10.498,25.391
0.132,1.019,-0.292,8.301,10.681,20.386
0.135,0.963,-0.275,5.676,7.080,15.991
0.140,0.923,-0.248,1.099,6.470,16.296
0.130,0.921,-0.231,-2.625,7.080,17.578
0.120,0.964,-0.229,-3.784,8.423,18.921
0.113,0.984,-0.232,0.732,12.390,16.602
0.099,0.945,-0.265,3.357,14.282,15.198
0.088,0.931,-0.281,4.333,14.954,15.015
0.080,0.904,-0.284,-0.977,12.085,15.503
0.073,0.873,-0.287,-5.493,10.498,18.250
0.067,0.948,-0.291,-9.155,9.460,22.156
0.061,1.026,-0.294,-10.254,9.949,24.170
0.053,1.075,-0.314,-2.808,13.672,17.151
0.051,1.023,-0.362,2.014,14.099,11.353
0.052,0.981,-0.368,4.028,13.184,7.690
0.051,0.975,-0.359,1.892,9.705,7.629
0.050,0.986,-0.337,1.892,8.545,7.202
0.049,0.972,-0.298,3.479,8.728,5.981
0.049,0.957,-0.293,5.005,9.583,4.822
0.046,0.948,-0.307,5.310,11.414,3.662
0.037,0.994,-0.318,4.944,11.169,3.357
0.032,0.996,-0.323,5.554,11.047,1.587
0.031,0.973,-0.320,7.263,9.949,-2.563
0.034,0.935,-0.306,6.104,9.277,-3.052
0.036,0.888,-0.314,3.662,8.850,-1.709
0.032,0.919,-0.319,0.793,8.240,0.977
0.024,0.956,-0.322,-1.587,7.019,2.502
0.012,0.960,-0.327,-0.183,6.653,1.160
0.016,0.942,-0.325,1.831,6.287,-0.061
0.021,0.923,-0.326,1.892,6.042,-0.122
0.020,0.921,-0.332,0.793,6.042,1.465
0.014,0.968,-0.333,0.610,5.493,2.747
0.014,0.989,-0.327,1.221,4.578,2.808
0.013,0.992,-0.336,3.113,3.418,0.000
0.011,0.961,-0.343,2.258,2.136,-1.282
0.010,0.954,-0.344,0.854,1.099,-1.709
0.011,0.961,-0.341,-0.854,-1.099,-1.465
0.013,0.968,-0.328,-0.916,-1.648,-1.953
0.015,0.958,-0.304,-0.244,-1.526,-2.502
0.020,0.943,-0.291,0.854,-1.404,-3.052
0.024,0.921,-0.277,0.977,-0.977,-3.357
0.022,0.917,-0.286,-0.061,-0.610,-2.136
0.017,0.937,-0.296,-1.221,-0.671,-0.732
0.011,0.954,-0.306,-1.221,-1.343,-0.061
0.007,0.965,-0.316,-0.732,-2.380,-1.038
0.019,0.924,-0.302,-1.099,-4.089,-2.441
